schema,group_id,scenario,method_id,solver_admissible,solver_reason,risk_score,guard_threshold,guard_accepted,exact_fallback,baseline_rmse_m,raw_rmse_m,deployed_rmse_m,raw_harmful,harmful_accepted,raw_improvement_fraction,deployed_improvement_fraction,coverage_90,predictive_width_rms_m,nominal_probability,identifiable_fraction,query_sensitivity_fraction,fixed_point_converged
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520808,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.003080500920836963,0.003080500920836963,0.003080500920836963,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520809,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.0036316706600353593,0.0036316706600353593,0.0036316706600353593,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520810,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.004979774051487603,0.004979774051487603,0.004979774051487603,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520811,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.004910896070034872,0.004910896070034872,0.004910896070034872,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520812,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.005215908475252118,0.005215908475252118,0.005215908475252118,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520813,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.004887678880295078,0.004887678880295078,0.004887678880295078,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520814,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.001806819755430712,0.001806819755430712,0.001806819755430712,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520815,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.007037644852962149,0.007037644852962149,0.007037644852962149,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520816,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.007448841755349864,0.007448841755349864,0.007448841755349864,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520817,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.008080443224969454,0.008080443224969454,0.008080443224969454,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520818,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.00675776480890649,0.00675776480890649,0.00675776480890649,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-common_mode_bias-318520819,common_mode_bias,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.0054213892441629325,0.0054213892441629325,0.0054213892441629325,False,False,0.0,0.0,,,1.0,0.0,0.0,True
